الاسم,المدينة,المنطقة,الحي,الشارع,صندوق البريد,الرمز الريدي,الجوال,البريد الالكتروني
شقق رانا الخليجية للشقق المفروشة,رياض الخبراء,القصيم,حي النزهة,طريق الأمير فيصل بن بندر,6102,444,+966163341183,RANA.ALKH1@GMAIL.COM
راحة يومي,جدة,مكة المكرمة,السلامة,السائب الكندي,14,,012-0122870,kale-16160@hotmail.com
فندق الخلفاء الفيصلية الفندقية,العاصمة المقدسة,مكة المكرمة,العدل,خزيمة بن خازم,2332,21955,+966125361829,turky259@hotmail.com
شقق الانيقة للوحدات السكنية,الرياض,الرياض,حي ظهرة لبن,الشفا,4135,017433,+966114361115,nasser.m.dajani@gmail.com
فندق الفيروز قرطاج,المدينة المنورة,المدينة المنورة,النقا,الحسن بن على بن ابي طالب,3,,014-8205520,shattajorob@hotmail.com
فندق كرم الفضي الفندقية,المدينة المنورة,المدينة المنورة,حي المناخة,طريق الملك فيصل - الدائري الاول,6803,6955,+966148196966,officekaram.alhejaz@gmail.com
عمر موسى الهديرس,حائل,حائل,شرق المجمع,الملك عبدالله,0,,016-5315579,hhmm0155@gmail.com
شركة المنار الفاخرة للشقق المخدومة,جدة,مكة المكرمة,البوادي,ابن طالب,57,23443,+966122349993,almanarhotel88@gmail.com
خالدية المذنب,المذنب,القصيم,الخزان,الملك عبدالعزيز,0,,016-3423000,booolena@hotmail.com
ربوة الصفوة للوحدات السكنية المفروشة,المدينة المنورة,المدينة المنورة,الأصيفرين,علقمة بن طارق بن سويد,42315,2496,+966530908076,makkah@alotair.com
مؤسسة لمسة خيال للوحدات السكنية,الدائر,جازان,الهجر,العام,0,46,+966173409185,ft.2030@yhoo.com
شقق نزل أبحر للوحدات السكنية,جدة,مكة المكرمة,حي ابحر الجنوبية,طريق الملك عبدالعزيز,7597,7597,+966126949999,maas1391@hotmail.com
فندق مريديان مكة فرع الشركة المتحدة للإستثمار والتطوير العقاري المتحد,العاصمة المقدسة,مكة المكرمة,أجياد,العام,4548,13700,+966125751111,Moustafa.AbuLaban@lemeridien.com
شركة الماسة الخاصة المحدودة,العاصمة المقدسة,مكة المكرمة,أجياد,طريق المسجد الحرام,6312,6312,+966590901312,ho@almassagroup.com
فندق هوليدي جازان,جازان,جازان,الشاطىء,الامير محمد بن ناصر,6319,,017-3177070,sss6602008@hotmail.com
شركة بياسة للشقق المخدومة,الرياض,الرياض,حي الربوة,الامير متعب بن عبدالعزيز,6592,3487,+966118120013,baezasuites@gmail.com
شقق هدوء المساء للشقق المفروشة,الرياض,الرياض,الحمراء,المصانع,3314,390850,+966112485453,quietevening@hotmail.com
ماسة نجران للشقق المفروشه,نجران,نجران,العريسه,الملك عبد العزيز,425,,017-5443822,aburakan.a.a@hotmail.com
رؤوم إن,سكاكا,الجوف,حي العزيزية,شارع الملك خالد,7875,,014-6254444,seba.alsharq@gmai.com
فندق مروج الامل الفندقية,المدينة المنورة,المدينة المنورة,المناخة,سعيد بن زيد القرشي,6852,2774,+966148251200,amalgp_hotels@hotmail.com
فندق دار الريس الفندقية,العاصمة المقدسة,مكة المكرمة,حي النزهة,الرضوه,7088,9221,+966125429797,dar@raies.me
نسمات الخبر,الخبر,الشرقية,العليا,السادس ب,17,,013-8816994,al-saatigroup03@hotmail.com
قصر جودي,جسر الملك فهد,الشرقية,العليا,الفضل بن اسماعيل,39,,013-8810982,itti20012002@yahoo.com
شقق بزول للوحدات السكنيه المفروشه,الرياض,الرياض,حي النهضة,الحكم المستنصر بالله,7554,1,+966112371155,i.hatlani@hotmail.com
أجنحة نوون للشقق الفندقية,الخفجي,الشرقية,الدرة,الملك عبدالله بن عبدالعزيز,6569,,013-7667333,moh.rashed@hotmail.com
قصر صحاري للوحدات السكنية المفروشة,الدمام,الشرقية,السلام,تقاطع شارع سعيد بن عمارة مع الشارع الحادي عشر,53,,013-3613113,noortaher80@gmail.com
شقق هلا عنيزة للوحدات السكنية,عنيزة,القصيم,الاشرافية,محمد القاضي,6310,305,+966163642505,te.yasser@gmail.com
المنزل المثالي,الرياض,الرياض,اليرموك,محمد علي جناح,525252663,,011-2263320,refede2004@yahoo.com
شقق روضة البستان للوحدات السكنية,الرياض,الرياض,المعيزيلة,شارع البسالة,1,122934,+966112315764,fmmrr@gmail.com
شقق البلاد رويال للشقق المفروشة,بقعاء,حائل,الوسطى,العام,2462,84,+966165272200,al-belad@hotmail.com
فندق سكن خيال الفندقية,جازان,جازان,الشاطيء,57 ج,15,4371,+966173173361,msss131@hotmail.com
مسايا الرياض,الرياض,الرياض,العقيق,شارع التحليه,0,,011-2401979,moh_alhabeeb@yahoo.com
شقق نوادر الؤلو للشقق المخدومة,حائل,حائل,المحطه,الملك فيصل,3874,55424,+966165331333,a1013977473@gmail.com
عين دارين,الرياض,الرياض,اشبيليا,الخزنة,305,,011-2482532,tsd-321@hotmail.com
سعيد مولوي عبدالحق,العاصمة المقدسة,مكة المكرمة,بير بليلة,اجياد الشهداء,12345,,014-8018964,SUADAAHOTEL@GMAIL.COM
ليالي القيم للوحدات السكنية,الطائف,مكة المكرمة,حي الحلقة الغربية,سليمان الراجحي,3686,26563,+966127329001,aaaathubaiti@gmail.com
فندق جوهرة البيان الفندقية,العاصمة المقدسة,مكة المكرمة,جرول,الشارع العام,2423,717,+966125600349,albayanhotel2030@gmail.com
سما الماسي,المدينة المنورة,المدينة المنورة,النقا,أبي هريرة,6320,,014-8192388,albuny99@hotmail.com
نزل الفخامة للوحدات السكنية المفروشة,الدمام,الشرقية,حي المنار,ابو بكر الصديق,8688,4028,+966138500011,ali.almansaf@harbico.com
شقق قصر الممشى للوحدات السكنية,وادي جازان,جازان,حي المطار,شارع عبدالله بن مسعود,2909,7317,+966173313133,mal_wadiee@hotmail.com
فندق أبيات النسيم الفندقية,العاصمة المقدسة,مكة المكرمة,النسيم,العباس بن عبدالمطلب,7404,1870,+966125541313,abyatalnaseem1@gmail.com
شقق روز الخيال للشقق المخدومة,حوطة بني تميم,الرياض,السلامية,طريق الملك  فهد,1,232,+966115556030,kmk66@hotmail.com
قصر الرمال للوحدات السكنية,الهدا,مكة المكرمة,مسرة,طريق المؤتمرات,40,,012-7373666,aaasenan@gmail.com
مائه وثمانون درجة للوحدات السكنية المفروشة,الرياض,الرياض,الملقا,محمد الدغيثر,31,55231,+966114880588,abu_albrary@hotmail.com
راديسون بلو ريزدنس,جسر الملك فهد,الشرقية,حي العليا,ثمانية عشر ب,0,,013-8641111,hr.residence.dhahran@radissonblu.com
فندق سمر مرمرة الفندقية,العاصمة المقدسة,مكة المكرمة,المعابده,ريع ذاخر,6487,,014-5572212,makki2212003@gmail.com
شقق أرض الذهب للوحدات السكنية,الرويضة,الرياض,الربوه,سلمان بن عبدالعزيز,4985,316635,+966116553390,ABOSAMY681@gMAIL.COM
شقق منازل الراحة للوحدات السكنية المفروشة,الرياض,الرياض,حي اشبيلية,القبة,7281,230402,+966112271771,mesfersaad62@gmail.com
فندق نسائم الجوري الفندقية,العاصمة المقدسة,مكة المكرمة,حي الجامعة,طريق المسجد الحرام,7099,24242,+966125661777,NAMEABD@HOTMAIL.COM
لؤلؤة النرجس,الرياض,الرياض,النرجس,اربعمائة وسبعة عشر,1,,011-4091751,Lualuah.alnarjes@gmail.com
شقق ماسة رواسي للشقق الفندقية,الرياض,الرياض,اشبيليا,القبة,7489,13225,+966115625342,kmq-77@hotmail.com
مؤسسة الكريستال الذهبيه للوحدات السكنيه,الطائف,مكة المكرمة,حي الربيع,حي المنتزه شارع الملك خالد,8858,5319,+966127442200,tz17p@hotmail.com
فندق ريانة اجياد,العاصمة المقدسة,مكة المكرمة,اجياد المصافي,اجياد,1,,012-5772111,info@qassswa.com
فندق بلاتينيوم الاولى الفندقية,المدينة المنورة,المدينة المنورة,الراية,طريق عثمان بن عفان,8219,42312,+966148314555,platinumfirst@hotmail.com
شقق الماسة التاج للوحدات السكنية,حائل,حائل,نقرة قفار,شارع عام,8944,8545,+966015336310,en.alhammazni@gmail.com
ركن بيوتات للوحدات السكنيةالمفروشةفرع شركةالجنادريةللوحدات السكنية,الرياض,الرياض,حي العليا,الاحمر,8684,58627,+966112545555,info@janasuites.com
درة مفضل,المدينة المنورة,المدينة المنورة,قربان,قربان النازل,0,,014-8242297,muh_rafa@hotmail.com
شقق نخبة النخبة للوحدات السكنية,الرياض,الرياض,الفلاح,"othman ebn affan, عثمان بن عفان, othman ebn affan, عثمان بن عفان",6497,11383,+966114115615,eliteofelite@outlook.sa
شقق وارفة للشقق المخدومة,جدة,مكة المكرمة,منطقة مكة المكرمة,الامير محمد بن عبدالعزيز الفرعي,5094,954,+966545555676,warfa.apartments@gmail.com
فندق تاج منازل الكرام,العاصمة المقدسة,مكة المكرمة,أجياد,بئر بليلة,0,,014-5971706,fa_339@hotmail.com
فندق ارجوان السلام,المدينة المنورة,المدينة المنورة,النقا,البراء بن عازب الأوسي,3,6196,+966148400059,moliky93@gmail.com
شقق مساكن الدلال للوحدات السكنية,الرياض,الرياض,الملقا,وادي نوار,3817,,011-4533998,d1018670701@hotmail.com
مجادل,رفحاء,الحدود الشمالية,الملز,طريق الملك عبدالله,357,,014-6768869,a50k@hotmail.com
شركة ابراج العرب للوحدات السكنية,المدينة المنورة,المدينة المنورة,حي المصانع,ابن فرح,2257,105,+966148690007,abraj_alarab@hotmail.com
شقق نسمة المغرب للوحدات السكنية,ينبع,المدينة المنورة,المسرة,طريق الملك عبدالعزيز,33200,3320,+966143228186,wjeeh7235@gmail.com
شقق بيز للشقق المخدومة,تبوك,تبوك,قرطبة,طريق امام تركي بن عبدالله,6491,47311,+966144250012,Wdlharb@gmail.com
سكناي,حائل,حائل,اجاء,طريق بقعاء,112,,016-2327000,alhatlani11@gmail.com
شقق نوارة القريات للشقق المفروشة,القريات,الجوف,العزيزية,طريق المدينة المنورة,5530,239,+966116416601,MBARKSA425@GMAIL.COM
فرع شركة رست نايت للوحدات السكنية,الرياض,الرياض,المروج,عروة بن الورد,8546,,011-2785904,almeqdaad@hotmail.com
فندق دار أم القرى الذهبي الفندقية,العاصمة المقدسة,مكة المكرمة,محبس الجن,الملك عبدالعزيز,3131,6477,+966125592192,ALMAR5592192@GMAIL.COM
شقق اوت للوحدات السكنية,الرياض,الرياض,حي المغرزات,الامير مقرن بن عبدالعزيز,4153,1,+966112355857,sagart@live.com
